mmsi,inferred,known
110702712,Set longlines,
110702817,Set gillnets,
110702921,Set longlines,
110703107,Set longlines,
110703120,Set gillnets,
110703126,Purse seines,
110703143,Trawlers,
110703147,Set longlines,
110703216,Set longlines,
110703358,Purse seines,
110703359,Set longlines,
110705292,Trawlers,
110705761,Set longlines,
110705896,Trawlers,
110705989,Trawlers,
110705993,Set longlines,
110706289,Set longlines,
110706446,Set longlines,
110706456,Purse seines,
110706492,Purse seines,
110706763,Trawlers,
110706887,Purse seines,
110706891,Trawlers,
110765546,Set longlines,
110767890,Set longlines,
110767898,Purse seines,
110777111,Trawlers,
110777777,Trawlers,
110789898,Trawlers,
110798998,Set gillnets,
110802650,Set longlines,
110898998,Set longlines,
110904226,Cargo,
110982229,Set gillnets,
110989909,Trawlers,
111000000,Reefer,
111000723,Sailing,
111000724,Pilot,
111001955,Purse seines,
111002067,Set longlines,
111002101,Trawlers,
111002389,Set gillnets,
111002861,Trawlers,
111003504,Set longlines,
111003506,Set longlines,
111003507,Trawlers,
111004874,Set longlines,
111004875,Set longlines,
111004876,Set longlines,
111004877,Trawlers,
111005125,Set longlines,
111005140,Trawlers,
111005141,Trawlers,
111005145,Set longlines,
111005148,Set longlines,
111005163,Cargo,
111005477,Trawlers,
111005478,Trawlers,
111009999,Set longlines,
111014009,Cargo,
111020759,Sailing,
111100000,Purse seines,Reefer
111105038,Trawlers,
111111000,Cargo,
111111100,Sailing,
111111110,Reefer,
111111111,Set gillnets,
111111112,Tug,
111111113,Tug,
111111117,Set gillnets,
111111122,Trawlers,
111111133,Trawlers,
111111302,Pilot,
111111737,Sailing,
111112222,Seismic vessel,
111112224,Trawlers,
111112730,Tug,
111121111,Trawlers,
111122221,Set gillnets,
111122223,Set gillnets,
111122224,Trawlers,
111122555,Trawlers,
111142951,Cargo,
111150465,Tanker,
111188855,Set longlines,
111188877,Set gillnets,
111188889,Trawlers,
111188987,Set longlines,
111199688,Trawlers,
111199811,Set longlines,
111199900,Set longlines,
111199922,Set longlines,
111199923,Set longlines,
111199924,Set longlines,
111199991,Set longlines,
111199992,Set longlines,
111199993,Set longlines,
111199994,Set longlines,
111199996,Set longlines,
111202080,Pots and traps,
111202258,Set gillnets,
111202512,Set longlines,
111202513,Sailing,
111202707,Tanker,
111202720,Trawlers,
111203149,Set longlines,
111203150,Trawlers,
111203151,Set longlines,
111203153,Set longlines,
111203159,Set longlines,
111203371,Trawlers,
111203412,Set longlines,
111203521,Trawlers,
111203548,Sailing,
111203721,Trawlers,
111203727,Set longlines,
111203732,Set longlines,
111203746,Set longlines,
111203873,Set gillnets,
