mmsi,Gear_Main_Code,Gear_Sec_Code
224469000,PS,NO
224122520,PS,NO
224587000,PS,NO
224010630,OTB,NO
224016170,OTB,NO
224098760,PS,NO
224212830,OTB,NO
224067640,GNS,NO
224405000,PS,NO
224545000,LLD,NO
224364290,GNS,GTR
235068431,LLS,NO
224047490,OTB,NO
224105580,PS,NO
224018350,OTB,NO
224072470,PS,NO
224100590,PS,NO
224213850,GNS,GTR
224100120,PS,NO
224136960,OTB,NO
224382970,OTB,NO
224010990,PS,NO
224031340,LLD,NO
224048150,LLD,NO
224070440,OTB,NO
224019420,LLS,NO
224004770,PS,NO
224249780,OTB,NO
224259220,OTB,NO
224090290,PS,NO
224056960,GNS,GTR
224013050,OTB,NO
224016530,LLD,NO
224009880,OTB,NO
224106140,PS,NO
224176370,LLD,NO
224010960,OTB,NO
224245370,LLS,NO
224716000,PS,NO
224337930,GNS,GTR
224157000,LLS,NO
224017830,LLS,NO
224132570,OTB,NO
224021940,PS,NO
224022140,OTB,NO
224016930,LLD,NO
224086550,OTB,NO
224259000,LLD,NO
224092140,OTB,NO
224021580,PS,NO
224093740,GNS,GTR
224114750,LLD,NO
224096320,OTB,NO
224116380,LLD,NO
224017280,OTB,NO
224013910,LLS,NO
224117340,OTB,NO
224030190,OTB,NO
224103270,OTB,NO
224128670,OTB,NO
224067470,OTB,NO
224053240,OTB,NO
224939000,LLS,NO
224052970,LLS,GNS
224013020,OTB,NO
224101970,PS,NO
224048850,OTB,NO
224081820,OTB,NO
224265670,OTB,NO
224025180,OTB,NO
224070230,OTB,NO
224055330,OTB,NO
224069860,LLS,FPO
224220140,OTB,NO
224080680,OTB,PTB
224233470,OTB,NO
224219220,OTB,NO
224010920,OTB,NO
235051173,OTB,NO
224075470,LLS,GNS
224138330,GNS,GTR
224051160,PS,NO
224135590,OTB,NO
224073290,PS,NO
224104430,OTB,NO
224017460,GNS,NO
224096950,OTB,NO
224081790,GNS,NO
224021730,GNS,NO
224940000,LLS,NO
224082460,GNS,NO
235076457,OTB,NO
224085250,PS,NO
224081130,GNS,NO
224073390,OTB,NO
224087530,OTB,NO
224017450,LLS,FPO
224233730,OTB,NO
224072430,PS,NO
224384000,OTB,PTB
224687000,LLD,NO
224104960,PS,NO
224014120,OTB,NO
224106130,LLD,NO
224098250,LLD,NO
224099470,LLD,NO
224407000,LLD,NO
224130870,LLS,GNS
224083590,LLD,NO
224083240,OTB,NO
224782000,PS,NO
224101860,PS,NO
224098420,LLD,NO
224330760,OTB,NO
224115880,LLD,NO
224019680,PS,NO
224105890,PS,NO
224112290,LLS,NO
224098870,OTB,NO
224464000,PS,NO
224070490,OTB,NO
